hierarchy;SIDC;fullpath;name;nameFR;icon-png;icon-svg
1.X.2.1.1.7;S*A*MFC---;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);TRANSPORT AÉRIEN DE FRET;1.X.2.1.1.7.png;1.X.2.1.1.7.svg
1.X.2.1.1.7.1;S*A*MFCL--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);TRANSPORT AÉRIEN DE FRET (LÉGER);1.X.2.1.1.7.1.png;1.X.2.1.1.7.1.svg
1.X.2.1.1.7.2;S*A*MFCM--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);TRANSPORT AÉRIEN DE FRET (MOYEN);1.X.2.1.1.7.2.png;1.X.2.1.1.7.2.svg
1.X.2.1.1.7.3;S*A*MFCH--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);TRANSPORT AÉRIEN DE FRET (LOURD);1.X.2.1.1.7.3.png;1.X.2.1.1.7.3.svg
1.X.2.1.1.8;S*A*MFJ---;AIR TRACK|MILITARY|FIXED WING|ELECTRONIC COUNTERMEASURES(ECM/JAMMER);ELECTRONIC COUNTERMEASURES(ECM/JAMMER);CONTREMESURES ÉLECTRONIQUES (CME/BROUILLEUR);1.X.2.1.1.8.png;1.X.2.1.1.8.svg
1.X.2.1.1.9;S*A*MFO---;AIR TRACK|MILITARY|FIXED WING|MEDEVAC;MEDEVAC;ÉVACUATION MÉDICALE;1.X.2.1.1.9.png;1.X.2.1.1.9.svg
1.X.2.1.1.10;S*A*MFR---;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE;RECONNAISSANCE;RECONNAISSANCE;1.X.2.1.1.10.png;1.X.2.1.1.10.svg
1.X.2.1.1.10.1;S*A*MFRW--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|AIRBORNE EARLY WARNING (AEW);AIRBORNE EARLY WARNING (AEW);AVERTISSEMENT PRÉCOCE AÉROPORTÉ (APAP);1.X.2.1.1.10.1.png;1.X.2.1.1.10.1.svg
1.X.2.1.1.10.2;S*A*MFRZ--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|ELECTRONIC SURVEILLANCE MEASURES;ELECTRONIC SURVEILLANCE MEASURES;MESURES DE SURVEILLANCE ÉLECTRONIQUE;1.X.2.1.1.10.2.png;1.X.2.1.1.10.2.svg
1.X.2.1.1.10.3;S*A*MFRX--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|PHOTOGRAPHIC;PHOTOGRAPHIC;PHOTOGRAPHIQUE;1.X.2.1.1.10.3.png;1.X.2.1.1.10.3.svg
1.X.2.1.1.11;S*A*MFP---;AIR TRACK|MILITARY|FIXED WING|PATROL;PATROL;PATROUILLE;1.X.2.1.1.11.png;1.X.2.1.1.11.svg
1.X.2.1.1.11.1;S*A*MFPN--;AIR TRACK|MILITARY|FIXED WING|PATROL|ANTI SURFACE WARFARE/ASUW;ANTI SURFACE WARFARE/ASUW;GUERRE ANTI-SURFACE;1.X.2.1.1.11.1.png;1.X.2.1.1.11.1.svg
1.X.2.1.1.11.2;S*A*MFPM--;AIR TRACK|MILITARY|FIXED WING|PATROL|MINE COUNTER MEASURES;MINE COUNTER MEASURES;CONTRE-MESURES DE MINES;1.X.2.1.1.11.2.png;1.X.2.1.1.11.2.svg
1.X.2.1.1.12;S*A*MFU---;AIR TRACK|MILITARY|FIXED WING|UTILITY;UTILITY;UTILITAIRE;1.X.2.1.1.12.png;1.X.2.1.1.12.svg
1.X.2.1.1.12.1;S*A*MFUL--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);UTILITAIRE (LÉGER);1.X.2.1.1.12.1.png;1.X.2.1.1.12.1.svg
1.X.2.1.1.12.2;S*A*MFUM--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);UTILITAIRE (MOYEN);1.X.2.1.1.12.2.png;1.X.2.1.1.12.2.svg
1.X.2.1.1.12.3;S*A*MFUH--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);UTILITAIRE (LOURD);1.X.2.1.1.12.3.png;1.X.2.1.1.12.3.svg
1.X.2.1.1.13;S*A*MFY---;AIR TRACK|MILITARY|FIXED WING|COMMUNICATIONS (C3I);COMMUNICATIONS (C3I);COMMUNICATIONS (C3I);1.X.2.1.1.13.png;1.X.2.1.1.13.svg
1.X.2.1.1.14;S*A*MFH---;AIR TRACK|MILITARY|FIXED WING|SEARCH AND RESCUE (CSAR);SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE (RECHERCHE ET SAUVETAGE COMBAT, CSAR);1.X.2.1.1.14.png;1.X.2.1.1.14.svg
1.X.2.1.1.15;S*A*MFD---;AIR TRACK|MILITARY|FIXED WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AÉROPORTÉ (C2);1.X.2.1.1.15.png;1.X.2.1.1.15.svg
1.X.2.1.1.16;S*A*MFQ---;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UAV);DRONE (RPV/UAV);DRONE (VÉHICULE AÉRIEN SANS PILOTE, VAPS);1.X.2.1.1.16.png;1.X.2.1.1.16.svg
1.X.2.1.1.17;S*A*MFS---;AIR TRACK|MILITARY|FIXED WING|ANTI SUBMARINE WARFARE (ASW) CARRIER BASED;ANTI SUBMARINE WARFARE (ASW) CARRIER BASED;GUERRE ANTI-SOUS-MARINE (GUERRE ANTI-SOUS-MARINE BASÉE SUR PORTE-AVIONS);1.X.2.1.1.17.png;1.X.2.1.1.17.svg
1.X.2.1.1.18;S*A*MFM---;AIR TRACK|MILITARY|FIXED WING|SPECIAL OPERATIONS FORCE (SOF);SPECIAL OPERATIONS FORCE (SOF);FORCE D'OPÉRATIONS SPÉCIALES (FOS);1.X.2.1.1.18.png;1.X.2.1.1.18.svg
1.X.2.1.2;S*A*MH----;AIR TRACK|MILITARY|ROTARY WING;ROTARY WING;AILE TOURNANTE;1.X.2.1.2.png;1.X.2.1.2.svg
1.X.2.1.2.1;S*A*MHA---;AIR TRACK|MILITARY|ROTARY WING|ATTACK;ATTACK;ATTAQUE;1.X.2.1.2.1.png;1.X.2.1.2.1.svg
1.X.2.1.2.2;S*A*MHS---;AIR TRACK|MILITARY|ROTARY WING|ANTISUBMARINE WARFARE;ANTISUBMARINE WARFARE;GUERRE ANTI-SOUS-MARINE;1.X.2.1.2.2.png;1.X.2.1.2.2.svg
1.X.2.1.2.3;S*A*MHU---;AIR TRACK|MILITARY|ROTARY WING|UTILITY;UTILITY;UTILITAIRE;1.X.2.1.2.3.png;1.X.2.1.2.3.svg
1.X.2.1.2.3.1;S*A*MHUL--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);UTILITAIRE (LÉGER);1.X.2.1.2.3.1.png;1.X.2.1.2.3.1.svg
1.X.2.1.2.3.2;S*A*MHUM--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);UTILITAIRE (MOYEN);1.X.2.1.2.3.2.png;1.X.2.1.2.3.2.svg
1.X.2.1.2.3.3;S*A*MHUH--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);UTILITAIRE (LOURD);1.X.2.1.2.3.3.png;1.X.2.1.2.3.3.svg
1.X.2.1.2.4;S*A*MHI---;AIR TRACK|MILITARY|ROTARY WING|MINE COUNTER MEASURES;MINE COUNTER MEASURES;CONTRE-MESURES DE MINES;1.X.2.1.2.4.png;1.X.2.1.2.4.svg
1.X.2.1.2.5;S*A*MHH---;AIR TRACK|MILITARY|ROTARY WING|COMBAT SEARCH AND RESCUE (CSAR);COMBAT SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE EN COMBAT (RECHERCHE ET SAUVETAGE EN COMBAT, CSAR);1.X.2.1.2.5.png;1.X.2.1.2.5.svg
1.X.2.1.2.6;S*A*MHR---;AIR TRACK|MILITARY|ROTARY WING|RECONNAISSANCE;RECONNAISSANCE;RECONNAISSANCE;1.X.2.1.2.6.png;1.X.2.1.2.6.svg
1.X.2.1.2.7;S*A*MHQ---;AIR TRACK|MILITARY|ROTARY WING|DRONE (RPV/UAV);DRONE (RPV/UAV);DRONE (VÉHICULE AÉRIEN SANS PILOTE, VAPS);1.X.2.1.2.7.png;1.X.2.1.2.7.svg
1.X.2.1.2.8;S*A*MHC---;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);TRANSPORT AÉRIEN DE FRET;1.X.2.1.2.8.png;1.X.2.1.2.8.svg
1.X.2.1.2.8.1;S*A*MHCL--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);TRANSPORT AÉRIEN DE FRET (LÉGER);1.X.2.1.2.8.1.png;1.X.2.1.2.8.1.svg
1.X.2.1.2.8.2;S*A*MHCM--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);TRANSPORT AÉRIEN DE FRET (MOYEN);1.X.2.1.2.8.2.png;1.X.2.1.2.8.2.svg
1.X.2.1.2.8.3;S*A*MHCH--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);TRANSPORT AÉRIEN DE FRET (LOURD);1.X.2.1.2.8.3.png;1.X.2.1.2.8.3.svg
1.X.2.1.2.9;S*A*MHT---;AIR TRACK|MILITARY|ROTARY WING|TRAINER;TRAINER;ENTRAÎNEUR;1.X.2.1.2.9.png;1.X.2.1.2.9.svg
1.X.2.1.2.10;S*A*MHO---;AIR TRACK|MILITARY|ROTARY WING|MEDEVAC;MEDEVAC;ÉVACUATION MÉDICALE;1.X.2.1.2.10.png;1.X.2.1.2.10.svg
1.X.2.1.2.11;S*A*MHM---;AIR TRACK|MILITARY|ROTARY WING|SPECIAL OPERATIONS FORCE (SOF);SPECIAL OPERATIONS FORCE (SOF);FORCE D'OPÉRATIONS SPÉCIALES (FOS);1.X.2.1.2.11.png;1.X.2.1.2.11.svg
1.X.2.1.2.12;S*A*MHD---;AIR TRACK|MILITARY|ROTARY WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AÉROPORTÉ (C2);1.X.2.1.2.12.png;1.X.2.1.2.12.svg
1.X.2.1.2.13;S*A*MHK---;AIR TRACK|MILITARY|ROTARY WING|TANKER;TANKER;RAVITAILLEUR;1.X.2.1.2.13.png;1.X.2.1.2.13.svg
1.X.2.1.2.14;S*A*MHJ---;AIR TRACK|MILITARY|ROTARY WING|ELECTRONIC COUNTER MEASURES (ECM/JAMMER);ELECTRONIC COUNTER MEASURES (ECM/JAMMER);CONTREMESURES ÉLECTRONIQUES (CME/BROUILLEUR);1.X.2.1.2.14.png;1.X.2.1.2.14.svg
1.X.2.1.3;S*A*ML----;AIR TRACK|MILITARY|LIGHTER THAN AIR;LIGHTER THAN AIR;PLUS LÉGER QUE L'AIR;1.X.2.1.3.png;1.X.2.1.3.svg
1.X.2.2;S*A*W-----;AIR TRACK|WEAPON;WEAPON;ARME;1.X.2.2.png;1.X.2.2.svg
1.X.2.2.1;S*A*WM----;AIR TRACK|WEAPON|MISSILE IN FLIGHT;MISSILE IN FLIGHT;MISSILE EN VOL;1.X.2.2.1.png;1.X.2.2.1.svg
1.X.2.2.1.1;S*A*WMS---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE/LAND LAUNCHED MISSILE;SURFACE/LAND LAUNCHED MISSILE;MISSILE LANCÉ DEPUIS LA SURFACE/TERRESTRE;1.X.2.2.1.1.png;1.X.2.2.1.1.svg
1.X.2.2.1.1.1;S*A*WMSS--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE/LAND LAUNCHED MISSILE|SURFACE TO SURFACE MISSILE (SSM);SURFACE TO SURFACE MISSILE (SSM);MISSILE SURFACE-SURFACE (MSS);1.X.2.2.1.1.1.png;1.X.2.2.1.1.1.svg
1.X.2.2.1.1.2;S*A*WMSA--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE/LAND LAUNCHED MISSILE|SURFACE TO AIR MISSILE (SAM);SURFACE TO AIR MISSILE (SAM);MISSILE SURFACE-AIR (MSA);1.X.2.2.1.1.2.png;1.X.2.2.1.1.2.svg
1.X.2.2.1.2;S*A*WMA---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE;AIR LAUNCHED MISSILE;MISSILE LANCÉ DEPUIS L'AIR;1.X.2.2.1.2.png;1.X.2.2.1.2.svg
1.X.2.2.1.2.1;S*A*WMAS--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE|AIR TO SURFACE MISSILE (ASM);AIR TO SURFACE MISSILE (ASM);MISSILE AIR-SURFACE (MAS);1.X.2.2.1.2.1.png;1.X.2.2.1.2.1.svg
1.X.2.2.1.2.2;S*A*WMAA--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE|AIR TO AIR MISSILE (AAM);AIR TO AIR MISSILE (AAM);MISSILE AIR-AIR (MAA);1.X.2.2.1.2.2.png;1.X.2.2.1.2.2.svg
1.X.2.2.1.3;S*A*WMU---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SUBSURFACE TO SURFACE MISSILE (S/SSM);SUBSURFACE TO SURFACE MISSILE (S/SSM);MISSILE SOUS-MARIN-SURFACE (SMS);1.X.2.2.1.3.png;1.X.2.2.1.3.svg
1.X.2.2.1.4;S*A*WML---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|LAND ATTACK MISSILE;LAND ATTACK MISSILE;MISSILE D'ATTAQUE TERRESTRE;1.X.2.2.1.4.png;1.X.2.2.1.4.svg
1.X.2.2.2;S*A*WD----;AIR TRACK|WEAPON|DECOY;DECOY;LEURRE;1.X.2.2.2.png;1.X.2.2.2.svg
1.X.2.3;S*A*C-----;AIR TRACK|CIVIL AIRCRAFT;CIVIL AIRCRAFT;AÉRONEF CIVIL;1.X.2.3.png;1.X.2.3.svg
1.X.2.3.1;S*A*CF----;AIR TRACK|CIVIL AIRCRAFT|FIXED WING;FIXED WING;AILE FIXE;1.X.2.3.1.png;1.X.2.3.1.svg
1.X.2.3.2;S*A*CH----;AIR TRACK|CIVIL AIRCRAFT|ROTARY WING;ROTARY WING;AILE TOURNANTE;1.X.2.3.2.png;1.X.2.3.2.svg
1.X.2.3.3;S*A*CL----;AIR TRACK|CIVIL AIRCRAFT|LIGHTER THAN AIR;LIGHTER THAN AIR;PLUS LÉGER QUE L'AIR;1.X.2.3.3.png;1.X.2.3.3.svg
1.X.3;S*G*------;GROUND TRACK;GROUND TRACK;PISTE TERRESTRE;1.X.3.png;1.X.3.svg
1.X.3.1;S*G*U-----;GROUND TRACK|UNIT;UNIT;UNITÉ;1.X.3.1.png;1.X.3.1.svg
1.X.3.1.1;S*G*UC----;GROUND TRACK|UNIT|COMBAT;COMBAT;COMBAT;1.X.3.1.1.png;1.X.3.1.1.svg
1.X.3.1.1.1;S*G*UCD---;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE;AIR DEFENCE;DÉFENSE AÉRIENNE;1.X.3.1.1.1.png;1.X.3.1.1.1.svg
1.X.3.1.1.1.1;S*G*UCDS--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|SHORT RANGE;SHORT RANGE;COURTE PORTÉE;1.X.3.1.1.1.1.png;1.X.3.1.1.1.1.svg
1.X.3.1.1.1.1.1;S*G*UCDS--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|SHORT RANGE|MISSILE;MISSILE;MISSILE;1.X.3.1.1.1.1.1.png;1.X.3.1.1.1.1.1.svg
1.X.3.1.1.1.1.2;S*G*UCDS--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|SHORT RANGE|GUN;GUN;CANON;1.X.3.1.1.1.1.2.png;1.X.3.1.1.1.1.2.svg
1.X.3.1.1.1.2;S*G*UCDM--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE;AIR DEFENCE MISSILE;MISSILE DE DÉFENSE AÉRIENNE;1.X.3.1.1.1.2.png;1.X.3.1.1.1.2.svg
1.X.3.1.1.1.2.1;S*G*UCDML-;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|AIR DEFENCE MISSILE LIGHT;AIR DEFENCE MISSILE LIGHT;MISSILE DE DÉFENSE AÉRIENNE LÉGER;1.X.3.1.1.1.2.1.png;1.X.3.1.1.1.2.1.svg
1.X.3.1.1.1.2.1.1;S*G*UCDMLA;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|AIR DEFENCE MISSILE LIGHT|AIR DEFENCE MISSILE MOTORIZED;AIR DEFENCE MISSILE MOTORIZED;MISSILE DE DÉFENSE AÉRIENNE MOTORISÉ;1.X.3.1.1.1.2.1.1.png;1.X.3.1.1.1.2.1.1.svg
1.X.3.1.1.1.2.2;S*G*UCDMM-;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|AIR DEFENCE MISSILE MEDIUM;AIR DEFENCE MISSILE MEDIUM;MISSILE DE DÉFENSE AÉRIENNE MOYEN;1.X.3.1.1.1.2.2.png;1.X.3.1.1.1.2.2.svg
1.X.3.1.1.1.2.3;S*G*UCDMH-;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|AIR DEFENCE MISSILE HEAVY;AIR DEFENCE MISSILE HEAVY;MISSILE DE DÉFENSE AÉRIENNE LOURD;1.X.3.1.1.1.2.3.png;1.X.3.1.1.1.2.3.svg
1.X.3.1.1.1.2.4;S*G*UCDH--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|H/MAD;H/MAD;H/MAD (HAUTE/MOYENNE ALTITUDE);1.X.3.1.1.1.2.4.png;1.X.3.1.1.1.2.4.svg
1.X.3.1.1.1.3;S*G*UCDG--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|GUN UNIT;GUN UNIT;UNITÉ DE CANON;1.X.3.1.1.1.3.png;1.X.3.1.1.1.3.svg
1.X.3.1.1.1.4;S*G*UCDC--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|COMPOSITE;COMPOSITE;COMPOSITE;1.X.3.1.1.1.4.png;1.X.3.1.1.1.4.svg
1.X.3.1.1.1.5;S*G*UCDT--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|TARGETING UNIT;TARGETING UNIT;UNITÉ DE CIBLAGE;1.X.3.1.1.1.5.png;1.X.3.1.1.1.5.svg
1.X.3.1.1.1.6;S*G*UCDO--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|THEATRE MISSILE DEFENCE UNIT;THEATRE MISSILE DEFENCE UNIT;UNITÉ DE DÉFENSE ANTIMISSILE DE THÉÂTRE;1.X.3.1.1.1.6.png;1.X.3.1.1.1.6.svg
1.X.3.1.1.2;S*G*UCA---;GROUND TRACK|UNIT|COMBAT|ARMOUR;ARMOUR;BLINDAGE;1.X.3.1.1.2.png;1.X.3.1.1.2.svg
1.X.3.1.1.2.1;S*G*UCAT--;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK;ARMOUR TRACK;CHENILLE BLINDÉE;1.X.3.1.1.2.1.png;1.X.3.1.1.2.1.svg
1.X.3.1.1.2.1.1;S*G*UCATA-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK AIRBORNE;ARMOUR TRACK AIRBORNE;CHENILLE BLINDÉE AÉROPORTÉE;1.X.3.1.1.2.1.1.png;1.X.3.1.1.2.1.1.svg
1.X.3.1.1.2.1.2;S*G*UCATW-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK AMPHIBIOUS;ARMOUR TRACK AMPHIBIOUS;CHENILLE BLINDÉE AMPHIBIE;1.X.3.1.1.2.1.2.png;1.X.3.1.1.2.1.2.svg
1.X.3.1.1.2.1.2.1;S*G*UCATWR;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK AMPHIBIOUS|ARMOUR TRACK AMPHIBIOUS RECOVERY;ARMOUR TRACK AMPHIBIOUS RECOVERY;CHENILLE BLINDÉE DE RÉCUPÉRATION AMPHIBIE;1.X.3.1.1.2.1.2.1.png;1.X.3.1.1.2.1.2.1.svg
1.X.3.1.1.2.1.3;S*G*UCATL-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK, LIGHT;ARMOUR TRACK, LIGHT;CHENILLE BLINDÉE LÉGÈRE;1.X.3.1.1.2.1.3.png;1.X.3.1.1.2.1.3.svg
1.X.3.1.1.2.1.4;S*G*UCATM-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK, MEDIUM;ARMOUR TRACK, MEDIUM;CHENILLE BLINDÉE MOYENNE;1.X.3.1.1.2.1.4.png;1.X.3.1.1.2.1.4.svg
1.X.3.1.1.2.1.5;S*G*UCATH-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK, HEAVY;ARMOUR TRACK, HEAVY;CHENILLE BLINDÉE LOURDE;1.X.3.1.1.2.1.5.png;1.X.3.1.1.2.1.5.svg
1.X.3.1.1.2.1.6;S*G*UCATR-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK, RECOVERY;ARMOUR TRACK, RECOVERY;CHENILLE BLINDÉE DE RÉCUPÉRATION;1.X.3.1.1.2.1.6.png;1.X.3.1.1.2.1.6.svg
1.X.3.1.1.2.2;S*G*UCAW--;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED;ARMOUR, WHEELED;BLINDAGE SUR ROUES;1.X.3.1.1.2.2.png;1.X.3.1.1.2.2.svg
1.X.3.1.1.2.2.1;S*G*UCAWS-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED AIR ASSAULT;ARMOUR, WHEELED AIR ASSAULT;BLINDAGE SUR ROUES POUR ASSAUT AÉRIEN;1.X.3.1.1.2.2.1.png;1.X.3.1.1.2.2.1.svg
1.X.3.1.1.2.2.2;S*G*UCAWA-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED AIRBORNE;ARMOUR, WHEELED AIRBORNE;BLINDAGE SUR ROUES AÉROPORTÉ;1.X.3.1.1.2.2.2.png;1.X.3.1.1.2.2.2.svg
1.X.3.1.1.2.2.3;S*G*UCAWA-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED AMPHIBIOUS;ARMOUR, WHEELED AMPHIBIOUS;BLINDAGE SUR ROUES AMPHIBIE;1.X.3.1.1.2.2.3.png;1.X.3.1.1.2.2.3.svg
1.X.3.1.1.2.2.4;S*G*UCAWL-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED LIGHT;ARMOUR, WHEELED LIGHT;BLINDAGE SUR ROUES LÉGER;1.X.3.1.1.2.2.4.png;1.X.3.1.1.2.2.4.svg
1.X.3.1.1.2.2.5;S*G*UCAWM-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED MEDIUM;ARMOUR, WHEELED MEDIUM;BLINDAGE SUR ROUES MOYEN;1.X.3.1.1.2.2.5.png;1.X.3.1.1.2.2.5.svg
1.X.3.1.1.2.2.6;S*G*UCAWH-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED HEAVY;ARMOUR, WHEELED HEAVY;BLINDAGE SUR ROUES LOURD;1.X.3.1.1.2.2.6.png;1.X.3.1.1.2.2.6.svg
1.X.3.1.1.2.2.7;S*G*UCAWR-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED RECOVERY;ARMOUR, WHEELED RECOVERY;BLINDAGE SUR ROUES DE RÉCUPÉRATION;1.X.3.1.1.2.2.7.png;1.X.3.1.1.2.2.7.svg
1.X.3.1.1.3;S*G*UCAA--;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR;ANTI ARMOUR;ANTI-CHAR;1.X.3.1.1.3.png;1.X.3.1.1.3.svg
