name;nom
AIR-TO-AIR MISSILE (AAM);MISSILE AIR-AIR (AAM)
AIR-TO-SPACE MISSILE;MISSILE AIR-ESPACE
SUBSURFACE-TO-SURFACE MISSILE (S/SSM);MISSILE SUBSURFACE-SURFACE (S/SSM)
CRUISE MISSILE;MISSILE DE CROISIERE
BALLISTIC MISSILE;MISSILE BALISTIQUE
BOMB;BOMBE
DECOY;LEURRE
CIVIL AIRCRAFT;AVION CIVIL
FIXED WING;AILE FIXE
ROTARY WING;AILE ROTATIVE
LIGHTER THAN AIR;PLUS LEGER QUE L'AIR
GROUND TRACK;PISTE AU SOL
UNIT;UNITE
COMBAT;COMBAT
AIR DEFENSE;DEFENSE AERIENNE
SHORT RANGE;COURTE PORTEE
CHAPARRAL;CHAPARRAL
STINGER;STINGER
VULCAN;VULCAN
AIR DEFENSE MISSILE;MISSILE DE DEFENSE AERIENNE
AIR DEFENSE MISSILE LIGHT;MISSILE DE DEFENSE AERIENNE LEGER
AIR DEFENSE MISSILE MOTORIZED (AVENGER);MISSILE DE DEFENSE AERIENNE MOTORISE (AVENGER)
AIR DEFENSE MISSILE MEDIUM;MISSILE DE DEFENSE AERIENNE MOYEN
AIR DEFENSE MISSILE HEAVY;MISSILE DE DEFENSE AERIENNE LOURD
H/MAD;H/MAD
HAWK;HAWK
PATRIOT;PATRIOT
GUN UNIT;UNITE D'ARMEMENT
COMPOSITE;COMPOSITE
TARGETING UNIT;UNITE DE CIBLAGE
THEATER MISSILE DEFENSE UNIT;UNITE DE DEFENSE CONTRE LES MISSILES DE THEATRE
ARMOR;BLINDE
ARMOR TRACK;PISTE DE BLINDE
ARMOR TRACK AIRBORNE;PISTE DE BLINDEE AEROPORTEE
ARMOR TRACK AMPHIBIOUS;PISTE DE BLINDE AMPHIBIE
ARMOR TRACK AMPHIBIOUS RECOVERY;PISTE DE BLINDE CHENILLE DE RECUPERATION AMPHIBIE
ARMOR TRACK, LIGHT;PISTE DE BLINDE CHENILLE, LEGER
ARMOR TRACK, MEDIUM;PISTE DE BLINDE CHENILLE, MOYEN
ARMOR TRACK, HEAVY;PISTE DE BLINDE CHENILLE, LOURD
ARMOR TRACK, RECOVERY;PISTE DE BLINDE CHENILLE, RECUPERATION
ARMOR, WHEELED;BLINDES A ROUES
ARMOR, WHEELED AIR ASSAULT;BLINDAGE A ROUES D'ASSAUT AERIEN
ARMOR, WHEELED AIRBORNE;BLINDAGE A ROUES AEROPORTE
ARMOR, WHEELED AMPHIBIOUS;BLINDAGE AMPHIBIE A ROUES
ARMOR, WHEELED AMPHIBIOUS RECOVERY;BLINDAGE, RECUPERATION AMPHIBIE A ROUES
ARMOR, WHEELED LIGHT;BLINDAGE LEGER A ROUES
ARMOR, WHEELED MEDIUM;BLINDE MOYEN A ROUES
ARMOR, WHEELED HEAVY;BLINDAGE LOURD A ROUES
ARMOR, WHEELED RECOVERY;BLINDAGE, RECUPERATION SUR ROUES
ANTIARMOR;ANTI-BLINDE
ANTIARMOR DISMOUNTED;ANTI-BLINDE DEMONTE
ANTIARMOR LIGHT;ANTI-BLINDE LEGER
ANTIARMOR AIRBORNE;ANTI-BLINDE AEROPORTE
ANTIARMOR AIR ASSAULT;ANTI-BLINDE AIR AASSISTANCE
ANTIARMOR MOUNTAIN;ANTI-BLINDE MONTAGNE
ANTIARMOR ARCTIC;ANTI-BLINDE ARCTIQUE
ANTIARMOR ARMORED;ANTI-BLINDE BLINDE
ANTIARMOR ARMORED TRACKED;ANTI-BLINDE BLINDE CHENILLE
ANTIARMOR ARMORED WHEELED;ANTI-BLINDE BLINDE A ROUES
ANTIARMOR ARMORED AIR ASSAULT;ANTI-BLINDE BLINDE AIR ASSAULT
ANTIARMOR MOTORIZED;ANTI-BLINDE MOTORISE
ANTIARMOR MOTORIZED AIR ASSAULT;ANTI-BLINDE MOTORISE D'ASSAUT AERIEN
AVIATION;AVIATION
FIXED WING;AILE FIXE
UTILITY FIXED WING;VOILURE FIXE UTILITAIRE
ATTACK FIXED WING;AILE FIXE D'ATTAQUE
RECON FIXED WING;AILE FIXE DE RECONNAISSANCE
ROTARY WING;AILE ROTATIVE
ATTACK ROTARY WING;AILE ROTATIVE D'ATTAQUE
SCOUT ROTARY WING;AILE ROTATIVE DE RECONNAISSANCE
ANTISUBMARINE WARFARE ROTARY WING;AILE ROTATIVE DE LUTTE ANTI-SOUS-MARINE
UTILITY ROTARY WING;AILE ROTATIVE UTILITAIRE
LIGHT UTILITY ROTARY WING;AILE ROTATIVE UTILITAIRE LEGERE
MEDIUM UTILITY ROTARY WING;AILE ROTATIVE UTILITAIRE MOYENNE
HEAVY UTILITY ROTARY WING;AILE ROTATIVE UTILITAIRE LOURDE
C2 ROTARY WING;AILE ROTATIVE C2
MEDEVAC ROTARY WING;AILE ROTATIVE D'EVACUATION SANITAIRE
MINE COUNTERMEASURE ROTARY WING;AILE ROTATIVE DE LUTTE CONTRE LES MINES
SEARCH AND RESCUE;RECHERCHE ET SAUVETAGE
COMPOSITE;COMPOSITE
VERTICAL AND/OR SHORT TAKEOFF AND LANDING AIRCRAFT(V/STOL);AERONEFS A DECOLLAGE ET ATTERRISSAGE VERTICAUX ET/OU COURTS (V/STOL)
UNMANNED AIRCRAFT;AERONEFS SANS PILOTE
UNMANNED AIRCRAFT FIXED WING;AERONEFS SANS PILOTE A VOILURE FIXE
UNMANNED AIRCRAFT ROTARY WING;AERONEFS SANS PILOTE A VOILURE TOURNANTE
INFANTRY;INFANTERIE
INFANTRY LIGHT;INFANTERIE LEGERE
INFANTRY MOTORIZED;INFANTERIE MOTORISEE
INFANTRY MOUNTAIN;INFANTERIE DE MONTAGNE
INFANTRY AIRBORNE;INFANTERIE AEROPORTEE
INFANTRY AIR ASSAULT;INFANTERIE D'ASSAUT AERIEN
INFANTRY MECHANIZED;INFANTERIE MECANISEE
INFANTRY NAVAL;INFANTERIE NAVALE
INFANTRY FIGHTING VEHICLE;VEHICULE DE COMBAT D'INFANTERIE
INFANTRY ARCTIC;INFANTERIE ARCTIQUE
ENGINEER;GENIE
ENGINEER COMBAT;GENIE DE COMBAT
ENGINEER COMBAT AIR ASSAULT;GENIE DE COMBAT ASSAUT AERIEN
ENGINEER COMBAT AIRBORNE;GENIE DE COMBAT AEROPORTE
ENGINEER COMBAT ARCTIC;GENIE DE COMBAT ARCTIQUE
ENGINEER COMBAT LIGHT (SAPPER);GENIE DE COMBAT LEGER (SAPEUR)
ENGINEER COMBAT MEDIUM;GENIE DE COMBAT MOYEN
ENGINEER COMBAT HEAVY;GENIE DE COMBAT LOURD
ENGINEER COMBAT MECHANIZED (TRACK);GENIE DE COMBAT MECANISE (CHENILLES)
ENGINEER COMBAT MOTORIZED;GENIE DE COMBAT MOTORISE
ENGINEER COMBAT MOUNTAIN;GENIE DE COMBAT EN MONTAGNE
ENGINEER COMBAT RECON;GENIE DE COMBAT DE RECONNAISSANCE
ENGINEER CONSTRUCTION;GENIE DE LA CONSTRUCTION
ENGINEER NAVAL CONSTRUCTION;GENIE CONSTRUCTION NAVALE
FIELD ARTILLERY;ARTILLERIE DE CAMPAGNE
HOWITZER/GUN;HOWITZER/PISTOLET
SELF-PROPELLED;AUTO-PROPULSE
AIR ASSAULT;ASSAUT AERIEN
AIRBORNE;AIRBORNE
ARCTIC;ARCTIQUE
MOUNTAIN;MONTAGNE
LIGHT;LEGERE
MEDIUM;MOYEN
HEAVY;LOURDE
AMPHIBIOUS;AMPHIBIE
ROCKET;ROQUETTE
SINGLE ROCKET LAUNCHER;LANCE-ROQUETTES SIMPLE
SINGLE ROCKET SELF-PROPELLED;FUSEE SIMPLE AUTOPROPULSEE
SINGLE ROCKET TRUCK;CAMION A FUSEE SIMPLE
SINGLE ROCKET TOWED;FUSEE SIMPLE TRACTEE
MULTIPLE ROCKET LAUNCHER;LANCEUR DE FUSEE MULTIPLE
MULTIPLE ROCKET SELF-PROPELLED;FUSEE MULTIPLE AUTOPROPULSEE
MULTIPLE ROCKET TRUCK;CAMION A FUSEES MULTIPLES
MULTIPLE ROCKET TOWED;FUSEE MULTIPLE TRACTEE
TARGET ACQUISITION;ACQUISITION DE LA CIBLE
RADAR;RADAR
SOUND;SON
FLASH (OPTICAL);FLASH (OPTIQUE)
COLT/FIST;COLT/FIST
DISMOUNTED COLT/FIST;COLT/POING DEMONTE
TRACKED COLT/FIST;COLT/POING CHENILLE
ANGLICO;ANGLICO
MORTAR;MORTAR
SELF-PROPELLED (SP) TRACKED MORTAR;MORTIER AUTOMOTEUR (SP) CHENILLE
SP WHEELED MORTAR;MORTIER A ROUES SP
TOWED MORTAR;MORTIER TRACTE
TOWED AIRBORNE MORTAR;MORTIER AEROPORTE REMORQUE
TOWED AIR ASSAULT MORTAR;MORTIER D'ASSAUT AERIEN REMORQUE
TOWED ARCTIC MORTAR;MORTIER ARCTIQUE REMORQUE
TOWED MOUNTAIN MORTAR;MORTIER DE MONTAGNE REMORQUE
AMPHIBIOUS MORTAR;MORTIER AMPHIBIE
ARTILLERY SURVEY;SONDAGE D'ARTILLERIE
AIR ASSAULT;ASSAUT AERIEN
AIRBORNE;AIRBORNE
LIGHT;LEGERE
MOUNTAIN;MONTAGNE
METEOROLOGICAL;METEOROLOGIQUE
AIR ASSAULT METEOROLOGICAL;AIR ASSAULT METEOROLOGICAL
AIRBORNE METEOROLOGICAL;METEOROLOGIE AEROPORTEE
LIGHT METEOROLOGICAL;METEOROLOGIE LEGERE
MOUNTAIN METEOROLOGICAL;METEOROLOGIQUE DE MONTAGNE
RECONNAISSANCE;RECONNAISSANCE
RECONNAISSANCE HORSE;CHEVAL DE RECONNAISSANCE
RECONNAISSANCE CAVALRY;CAVALERIE DE RECONNAISSANCE
RECONNAISSANCE CAVALRY ARMORED;CAVALERIE DE RECONNAISSANCE BLINDEE
RECONNAISSANCE CAVALRY MOTORIZED;CAVALERIE DE RECONNAISSANCE MOTORISEE
RECONNAISSANCE CAVALRY GROUND;CAVALERIE DE RECONNAISSANCE TERRESTRE
RECONNAISSANCE CAVALRY AIR;RECONNAISSANCE CAVALERIE AIR
RECONNAISSANCE ARCTIC;RECONNAISSANCE ARCTIQUE
RECONNAISSANCE AIR ASSAULT;RECONNAISSANCE AERIENNE
RECONNAISSANCE AIRBORNE;RECONNAISSANCE AEROPORTEE
RECONNAISSANCE MOUNTAIN;RECONNAISSANCE EN MONTAGNE
RECONNAISSANCE LIGHT;RECONNAISSANCE LEGERE
RECONNAISSANCE MARINE;RECONNAISSANCE MARINE
RECONNAISSANCE MARINE DIVISION;RECONNAISSANCE MARINE DIVISION
RECONNAISSANCE MARINE FORCE;FORCE DE RECONNAISSANCE MARINE
RECONNAISSANCE MARINE LIGHT ARMORED RECONNAISSNACE (LAR);RECONNAISSANCE MARINE BLINDEE LEGERE (LAR)
RECONNAISSANCE LONG RANGE SURVEILLANCE (LRS);RECONNAISSANCE SURVEILLANCE A LONGUE DISTANCE (LRS)
MISSILE (SURF-SURF);MISSILE (SURF-SURF)
MISSILE (SURF-SURF) TACTICAL;MISSILE (SURF-SURF) TACTIQUE
MISSILE (SURF-SURF) STRATEGIC;MISSILE (SURF-SURF) STRATEGIQUE
INTERNAL SECURITY FORCES;FORCES DE SECURITE INTERIEURE
RIVERINE;RIVIERE
GROUND;TERRAIN
DISMOUNTED GROUND;TERRAIN DEMONTE
MOTORIZED GROUND;TERRAIN MOTORISE
MECHANIZED GROUND;TERRAIN MECANISE
WHEELED MECHANIZED;MECANISE A ROUES
RAILROAD;CHEMIN DE FER
AVIATION;AVIATION
COMBAT SUPPORT;SOUTIEN AU COMBAT
COMBAT SUPPORT CBRN;COMBAT SUPPORT CBRN
CHEMICAL;CHEMICAL
SMOKE/DECON;FUMEE/DECON
MECHANIZED SMOKE/DECON;FUMIGENE/DECON MECANISE
MOTORIZED SMOKE/DECON;FUMIGENE/DECON MOTORISE
SMOKE;FUMEE
MOTORIZED SMOKE;FUMEE MOTORISEE
ARMOR SMOKE;FUMEE D'ARMURE
CHEMICAL RECON;RECON CHEMICAL
CHEMICAL WHEELED ARMORED VEHICLE;VEHICULE BLINDE CHIMIQUE A ROUES
CHEMICAL WHEELED ARMORED VEHICLE RECONNAISSANCE ;VEHICULE BLINDE CHIMIQUE A ROUES RECONNAISSANCE 
NUCLEAR;NUCLEAIRE
BIOLOGICAL;BIOLOGIQUE
RECON EQUIPPED;RECON EQUIPE
DECONTAMINATION;DECONTAMINATION
MILITARY INTELLIGENCE;RENSEIGNEMENT MILITAIRE
AERIAL EXPLOITATION;EXPLOITATION AERIENNE
SIGNAL INTELLIGENCE (SIGINT);RENSEIGNEMENT D'ORIGINE ELECTROMAGNETIQUE (SIGINT)
ELECTRONIC WARFARE;GUERRE ELECTRONIQUE
ARMORED WHEELED VEHICLE;VEHICULE BLINDE A ROUES
DIRECTION FINDING;RECHERCHE DE DIRECTION
INTERCEPT;INTERCEPTION
JAMMING;BROUILLAGE
THEATER;THEATRE
CORPS;CORPS
COUNTERINTELLIGENCE;CONTRE-ESPIONNAGE
SURVEILLANCE;SURVEILLANCE
GROUND SURVEILLANCE RADAR;RADAR DE SURVEILLANCE TERRESTRE
SENSOR;CAPTEUR
SENSOR SCM;CAPTEUR SCM
GROUND STATION MODULE;MODULE DE STATION TERRESTRE
METEOROLOGICAL;METEOROLOGIE
OPERATIONS;OPERATIONS
TACTICAL EXPLOIT;EXPLOITATION TACTIQUE
INTERROGATION;INTERROGATION
JOINT INTELLIGENCE CENTER;CENTRE DE RENSEIGNEMENT INTEGRE
LAW ENFORCEMENT UNIT;UNITE D'APPLICATION DE LA LOI
SHORE PATROL;PATROUILLE COTIERE
MILITARY POLICE;POLICE MILITAIRE
CIVILIAN LAW ENFORCEMENT;POLICE CIVILE
SECURITY POLICE (AIR);POLICE DE SECURITE (AIR)
CENTRAL INTELLIGENCE DIVISION (CID);DIVISION CENTRALE DU RENSEIGNEMENT (CID)
SIGNAL UNIT;UNITE DE SIGNAUX
AREA;ZONE
COMMUNICATION CONFIGURED PACKAGE;PAQUET CONFIGURE POUR LA COMMUNICATION
LARGE COMMUNICATION CONFIGURED PACKAGE (LCCP);PAQUET CONFIGURE POUR LA GRANDE COMMUNICATION (LCCP)
COMMAND OPERATIONS;OPERATIONS DE COMMANDEMENT
FORWARD COMMUNICATIONS;COMMUNICATIONS VERS L'AVANT
MULTIPLE SUBSCRIBER ELEMENT;MULTIPLE ELEMENT ABONNE
SMALL EXTENSION NODE;PETIT N?UD D'EXTENSION
LARGE EXTENSION NODE;GRAND N?UD D'EXTENSION
NODE CENTER;CENTRE DU N?UD
RADIO UNIT;UNITE RADIO
TACTICAL SATELLITE;SATELLITE TACTIQUE
TELETYPE CENTER;CENTRE DE TELETYPE
RELAY;RELAIS
SIGNAL SUPPORT;SUPPORT DE SIGNAUX
TELEPHONE SWITCH;COMMUTATEUR TELEPHONIQUE
ELECTRONIC RANGING;TELEMETRIE ELECTRONIQUE
INFORMATION WARFARE UNIT;UNITE DE GUERRE DE L'INFORMATION
LANDING SUPPORT;SOUTIEN AU DEBARQUEMENT
EXPLOSIVE ORDNANCE DISPOSAL;NEUTRALISATION DES EXPLOSIFS ET MUNITIONS
COMBAT SERVICE SUPPORT;SOUTIEN AU SERVICE DE COMBAT
ADMINISTRATIVE (ADMIN);ADMINISTRATION (ADMIN)
ADMIN THEATER;ADMIN THEATRE
ADMIN CORPS;ADMIN CORPS
JUDGE ADVOCATE GENERAL (JAG);JUGE-AVOCAT GENERAL (JAG)
JAG THEATER;THEATRE JAG
JAG CORPS;CORPS DU JAG
POSTAL;POSTAL
POSTAL THEATER;THEATRE POSTAL
POSTAL CORPS;CORPS POSTAL
FINANCE;FINANCE
FINANCE THEATER;THEATRE DES FINANCES
FINANCE CORPS;CORPS FINANCIER
PERSONNEL SERVICES;SERVICES DU PERSONNEL
PERSONNEL THEATER;PERSONNEL THEATRE
PERSONNEL CORPS;PERSONNEL CORPS
MORTUARY/GRAVES REGISTRY;MORGUE/REGISTRE DES TOMBES
MORTUARY/GRAVES REGISTRY THEATER;MORUARY/GRAVES REGISTRY THEATER
MORTUARY/GRAVES REGISTRY CORPS;CORPS DE LA MORGUE ET DES SEPULTURES
RELIGIOUS/CHAPLAIN;RELIGIEUX/CHAPELAIN
RELIGIOUS/CHAPLAIN THEATER;RELIGIEUX/CHAPELAIN THEATRE
RELIGIOUS/CHAPLAIN CORPS;CORPS RELIGIEUX/CHAPELAIN
PUBLIC AFFAIRS;AFFAIRES PUBLIQUES
PUBLIC AFFAIRS THEATER;THEATRE DES AFFAIRES PUBLIQUES
PUBLIC AFFAIRS CORPS;CORPS DES AFFAIRES PUBLIQUES
PUBLIC AFFAIRS BROADCAST;DIFFUSION DES AFFAIRES PUBLIQUES
PUBLIC AFFAIRS BROADCAST THEATER;THEATRE D'EMISSION D'AFFAIRES PUBLIQUES
PUBLIC AFFAIRS BROADCAST CORPS;CORPS DE DIFFUSION DES AFFAIRES PUBLIQUES
PUBLIC AFFAIRS JOINT INFORMATION BUREAU (JIB);PUBLIC AFFAIRS JOINT INFORMATION BUREAU (JIB)
PUBLIC AFFAIRS JIB THEATER;PUBLIC AFFAIRS JIB THEATER
PUBLIC AFFAIRS JIB CORPS;PUBLIC AFFAIRS JIB CORPS
REPLACEMENT HOLDING UNIT (RHU);UNITE DE REMPLACEMENT (RHU)
RHU THEATER;RHU THEATER
RHU CORPS;RHU CORPS
LABOR;LABOR
LABOR THEATER;LABOR THEATER
LABOR CORPS;CORPS LABOR
MORALE, WELFARE, RECREATION (MWR);MORAL, BIEN-ETRE, LOISIRS (MWR)
MWR THEATER;MWR THEATRE
MWR CORPS;MWR CORPS
QUARTERMASTER (SUPPLY);QUARTERMASTER (SUPPLY)
QUARTERMASTER (SUPPLY) THEATER;QUARTERMASTER (SUPPLY) THEATER
QUARTERMASTER (SUPPLY) CORPS;QUARTERMASTER (SUPPLY) CORPS
MEDICAL;MEDICAL
MEDICAL THEATER;THEATRE MEDICAL
MEDICAL CORPS;CORPS MEDICAL
MEDICAL TREATMENT FACILITY;INSTALLATION DE TRAITEMENT MEDICAL
MEDICAL TREATMENT FACILITY THEATER;CENTRE DE TRAITEMENT MEDICAL (MEDICAL TREATMENT FACILITY)
MEDICAL TREATMENT FACILITY CORPS;INSTALLATION DE TRAITEMENT MEDICAL CORPS
MEDICAL VETERINARY;MEDICAL VETERINAIRE
MEDICAL VETERINARY THEATER;MEDECINE VETERINAIRE THEATRE
MEDICAL VETERINARY CORPS;CORPS MEDICAL VETERINAIRE
MEDICAL DENTAL;MEDECINE DENTAIRE
MEDICAL DENTAL THEATER;THEATRE DENTAIRE MEDICAL
MEDICAL DENTAL CORPS;CORPS MEDICAL DENTAIRE
MEDICAL PSYCHOLOGICAL;MEDECINE PSYCHOLOGIQUE
MEDICAL PSYCHOLOGICAL THEATER;THEATRE MEDICO-PSYCHOLOGIQUE
MEDICAL PSYCHOLOGICAL CORPS;CORPS MEDICO-PSYCHOLOGIQUE
SUPPLY;APPROVISIONNEMENT
SUPPLY THEATER;THEATRE D'APPROVISIONNEMENT
SUPPLY CORPS;CORPS D'APPROVISIONNEMENT
SUPPLY CLASS I;RAVITAILLEMENT CLASSE I
SUPPLY CLASS I THEATER;SUPPLY CLASS I THEATER
SUPPLY CLASS I CORPS;SUPPLY CLASS I CORPS
SUPPLY CLASS II;SUPPLY CLASS II
SUPPLY CLASS II THEATER;SUPPLY CLASS II THEATER
SUPPLY CLASS II CORPS;CLASSE D'APPROVISIONNEMENT II CORPS
SUPPLY CLASS III;CLASSE D'APPROVISIONNEMENT III
SUPPLY CLASS III THEATER;SUPPLY CLASS III THEATER
SUPPLY CLASS III CORPS;SUPPLY CLASS III CORPS
SUPPLY CLASS III AVIATION;SUPPLY CLASS III AVIATION
SUPPLY CLASS III AVIATION THEATER;SUPPLY CLASS III AVIATION THEATER
SUPPLY CLASS III AVIATION CORPS;SUPPLY CLASS III AVIATION CORPS
SUPPLY CLASS IV;CLASSE D'APPROVISIONNEMENT IV
SUPPLY CLASS IV THEATER;SUPPLY CLASS IV THEATER
SUPPLY CLASS IV CORPS;SUPPLY CLASS IV CORPS
SUPPLY CLASS V;CLASSE DE RAVITAILLEMENT V
SUPPLY CLASS V THEATER;SUPPLY CLASS V THEATER
SUPPLY CLASS V CORPS;SUPPLY CLASS V CORPS
SUPPLY CLASS VI;SUPPLY CLASS VI
SUPPLY CLASS VI THEATER;SUPPLY CLASS VI THEATER
SUPPLY CLASS VI CORPS;SUPPLY CLASS VI CORPS
SUPPLY CLASS VII;CLASSE DE RAVITAILLEMENT VII
SUPPLY CLASS VII THEATER;SUPPLY CLASS VII THEATER
SUPPLY CLASS VII CORPS;CLASSE D'APPROVISIONNEMENT VII CORPS
SUPPLY CLASS VIII;CLASSE DE RAVITAILLEMENT VIII
SUPPLY CLASS VIII THEATER;SUPPLY CLASS VIII THEATER
SUPPLY CLASS VIII CORPS;CLASSE D'APPROVISIONNEMENT VIII CORPS
SUPPLY CLASS IX;CLASSE D'APPROVISIONNEMENT IX
SUPPLY CLASS IX THEATER;SUPPLY CLASS IX THEATER
SUPPLY CLASS IX CORPS;CLASSE D'APPROVISIONNEMENT IX CORPS
SUPPLY CLASS X;CLASSE DE RAVITAILLEMENT X
SUPPLY CLASS X THEATER;SUPPLY CLASS X THEATER
SUPPLY CLASS X CORPS;SUPPLY CLASS X CORPS
SUPPLY LAUNDRY/BATH;APPROVISIONNEMENT BLANCHISSERIE/BAIN
SUPPLY LAUNDRY/BATH THEATER;SUPPLY LAUNDRY/BATH THEATER
SUPPLY LAUNDRY/BATH CORPS;SUPPLY LAUNDRY/BATH CORPS
SUPPLY WATER;APPROVISIONNEMENT EN EAU
SUPPLY WATER THEATER;SUPPLY WATER THEATER
SUPPLY WATER CORPS;SUPPLY WATER CORPS
SUPPLY WATER PURIFICATION;APPROVISIONNEMENT EN EAU PURIFICATION
SUPPLY WATER PURIFICATION THEATER;APPROVISIONNEMENT EN EAU PURIFICATION THEATRE
SUPPLY WATER PURIFICATION CORPS;CORPS DE PURIFICATION DE L'EAU
TRANSPORTATION;TRANSPORT
TRANSPORTATION THEATER;THEATRE DES TRANSPORTS
