hierarchy;SIDC;fullpath;name;nameFR;icon-png;icon-svg
1.X.2.1.1.12.3;S*A*MFUH--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);UTILITAIRE (LOURD);1.X.2.1.1.12.3.png;1.X.2.1.1.12.3.svg
1.X.2.1.1.13;S*A*MFY---;AIR TRACK|MILITARY|FIXED WING|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;1.X.2.1.1.13.png;1.X.2.1.1.13.svg
1.X.2.1.1.14;S*A*MFH---;AIR TRACK|MILITARY|FIXED WING|COMBAT SEARCH AND RESCUE (CSAR);COMBAT SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE AU COMBAT (CSAR);1.X.2.1.1.14.png;1.X.2.1.1.14.svg
1.X.2.1.1.15;S*A*MFD---;AIR TRACK|MILITARY|FIXED WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AEROPORTE (C2);1.X.2.1.1.15.png;1.X.2.1.1.15.svg
1.X.2.1.1.16;S*A*MFQ---;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA);DRONE (RPV/UA);DRONE (RPV/UA);1.X.2.1.1.16.png;1.X.2.1.1.16.svg
1.X.2.1.1.16.1;S*A*MFQA--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ATTACK;ATTACK;ATTAQUE;1.X.2.1.1.16.1.png;1.X.2.1.1.16.1.svg
1.X.2.1.1.16.2;S*A*MFQB--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|BOMBER;BOMBER;BOMBARDIER;1.X.2.1.1.16.2.png;1.X.2.1.1.16.2.svg
1.X.2.1.1.16.3;S*A*MFQC--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|CARGO;CARGO;CARGO;1.X.2.1.1.16.3.png;1.X.2.1.1.16.3.svg
1.X.2.1.1.16.4;S*A*MFQD--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|AIRBORNE COMMAND POST;AIRBORNE COMMAND POST;POSTE DE COMMANDEMENT AEROPORTE;1.X.2.1.1.16.4.png;1.X.2.1.1.16.4.svg
1.X.2.1.1.16.5;S*A*MFQF--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|FIGHTER;FIGHTER;CHASSEUR;1.X.2.1.1.16.5.png;1.X.2.1.1.16.5.svg
1.X.2.1.1.16.6;S*A*MFQH--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|SEARCH & RESCUE (CSAR);SEARCH & RESCUE (CSAR);RECHERCHE ET SAUVETAGE (CSAR);1.X.2.1.1.16.6.png;1.X.2.1.1.16.6.svg
1.X.2.1.1.16.7;S*A*MFQJ--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ELECTRONIC COUNTERMEASURES (JAMMER);ELECTRONIC COUNTERMEASURES (JAMMER);CONTRE-MESURES ELECTRONIQUES (BROUILLEUR);1.X.2.1.1.16.7.png;1.X.2.1.1.16.7.svg
1.X.2.1.1.16.8;S*A*MFQK--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|TANKER;TANKER;CITERNE;1.X.2.1.1.16.8.png;1.X.2.1.1.16.8.svg
1.X.2.1.1.16.9;S*A*MFQL--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|V/STOL;V/STOL;V/STOL;1.X.2.1.1.16.9.png;1.X.2.1.1.16.9.svg
1.X.2.1.1.16.10;S*A*MFQM--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|SPECIAL OPERATIONS FORCES (SOF);SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF);1.X.2.1.1.16.10.png;1.X.2.1.1.16.10.svg
1.X.2.1.1.16.11;S*A*MFQI--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|MINE COUNTERMEASURES;MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES;1.X.2.1.1.16.11.png;1.X.2.1.1.16.11.svg
1.X.2.1.1.16.12;S*A*MFQN--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ANTISURFACE WARFARE (ASUW);ANTISURFACE WARFARE (ASUW);GUERRE ANTISURFACE (ASUW);1.X.2.1.1.16.12.png;1.X.2.1.1.16.12.svg
1.X.2.1.1.16.13;S*A*MFQP--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|PATROL;PATROL;PATROUILLE;1.X.2.1.1.16.13.png;1.X.2.1.1.16.13.svg
1.X.2.1.1.16.14;S*A*MFQR--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|RECONNAISSANCE;RECONNAISSANCE;RECONNAISSANCE;1.X.2.1.1.16.14.png;1.X.2.1.1.16.14.svg
1.X.2.1.1.16.14.1;S*A*MFQRW-;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|RECONNAISSANCE|AIRBORNE EARLY WARNING (AEW);AIRBORNE EARLY WARNING (AEW);ALERTE PRECOCE AEROPORTEE (AEW);1.X.2.1.1.16.14.1.png;1.X.2.1.1.16.14.1.svg
1.X.2.1.1.16.14.2;S*A*MFQRZ-;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|RECONNAISSANCE|ELECTRONIC SURVEILLANCE MEASURES;ELECTRONIC SURVEILLANCE MEASURES;MESURES DE SURVEILLANCE ELECTRONIQUE;1.X.2.1.1.16.14.2.png;1.X.2.1.1.16.14.2.svg
1.X.2.1.1.16.14.3;S*A*MFQRX-;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|RECONNAISSANCE|PHOTOGRAPHIC;PHOTOGRAPHIC;PHOTOGRAPHIE;1.X.2.1.1.16.14.3.png;1.X.2.1.1.16.14.3.svg
1.X.2.1.1.16.15;S*A*MFQS--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ANTISUBMARINE WARFARE (ASW);ANTISUBMARINE WARFARE (ASW);LUTTE ANTI-SOUS-MARINE (GASM);1.X.2.1.1.16.15.png;1.X.2.1.1.16.15.svg
1.X.2.1.1.16.16;S*A*MFQT--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|TRAINER;TRAINER;FORMATEUR;1.X.2.1.1.16.16.png;1.X.2.1.1.16.16.svg
1.X.2.1.1.16.17;S*A*MFQU--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|UTILITY;UTILITY;UTILITE;1.X.2.1.1.16.17.png;1.X.2.1.1.16.17.svg
1.X.2.1.1.16.18;S*A*MFQY--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;1.X.2.1.1.16.18.png;1.X.2.1.1.16.18.svg
1.X.2.1.1.16.19;S*A*MFQO--;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|MEDEVAC;MEDEVAC;MEDEVAC;1.X.2.1.1.16.19.png;1.X.2.1.1.16.19.svg
1.X.2.1.1.17;S*A*MFS---;AIR TRACK|MILITARY|FIXED WING|ANTISUBMARINE WARFARE (ASW) CARRIER BASED;ANTISUBMARINE WARFARE (ASW) CARRIER BASED;GUERRE ANTI-SOUS-MARINE (ASW) SUR PORTE-AVIONS;1.X.2.1.1.17.png;1.X.2.1.1.17.svg
1.X.2.1.1.18;S*A*MFM---;AIR TRACK|MILITARY|FIXED WING|SPECIAL OPERATIONS FORCES (SOF);SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF);1.X.2.1.1.18.png;1.X.2.1.1.18.svg
1.X.2.1.2;S*A*MH----;AIR TRACK|MILITARY|ROTARY WING;ROTARY WING;AILE ROTATIVE;1.X.2.1.2.png;1.X.2.1.2.svg
1.X.2.1.2.1;S*A*MHA---;AIR TRACK|MILITARY|ROTARY WING|ATTACK;ATTACK;ATTAQUE;1.X.2.1.2.1.png;1.X.2.1.2.1.svg
1.X.2.1.2.2;S*A*MHS---;AIR TRACK|MILITARY|ROTARY WING|ANTISUBMARINE WARFARE/MPA;ANTISUBMARINE WARFARE/MPA;LUTTE ANTI-SOUS-MARINE/MPA;1.X.2.1.2.2.png;1.X.2.1.2.2.svg
1.X.2.1.2.3;S*A*MHU---;AIR TRACK|MILITARY|ROTARY WING|UTILITY;UTILITY;UTILITE;1.X.2.1.2.3.png;1.X.2.1.2.3.svg
1.X.2.1.2.3.1;S*A*MHUL--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);UTILITAIRE (LEGER);1.X.2.1.2.3.1.png;1.X.2.1.2.3.1.svg
1.X.2.1.2.3.2;S*A*MHUM--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);UTILITAIRE (MOYEN);1.X.2.1.2.3.2.png;1.X.2.1.2.3.2.svg
1.X.2.1.2.3.3;S*A*MHUH--;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);UTILITAIRE (LOURD);1.X.2.1.2.3.3.png;1.X.2.1.2.3.3.svg
1.X.2.1.2.4;S*A*MHI---;AIR TRACK|MILITARY|ROTARY WING|MINE COUNTERMEASURES;MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES;1.X.2.1.2.4.png;1.X.2.1.2.4.svg
1.X.2.1.2.5;S*A*MHH---;AIR TRACK|MILITARY|ROTARY WING|COMBAT SEARCH AND RESCUE (CSAR);COMBAT SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE AU COMBAT (CSAR);1.X.2.1.2.5.png;1.X.2.1.2.5.svg
1.X.2.1.2.6;S*A*MHR---;AIR TRACK|MILITARY|ROTARY WING|RECONNAISSANCE;RECONNAISSANCE;RECONNAISSANCE;1.X.2.1.2.6.png;1.X.2.1.2.6.svg
1.X.2.1.2.7;S*A*MHQ---;AIR TRACK|MILITARY|ROTARY WING|DRONE (RPV/UA);DRONE (RPV/UA);DRONE (RPV/UA);1.X.2.1.2.7.png;1.X.2.1.2.7.svg
1.X.2.1.2.8;S*A*MHC---;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);TRANSPORT AERIEN DE FRET (TRANSPORT);1.X.2.1.2.8.png;1.X.2.1.2.8.svg
1.X.2.1.2.8.1;S*A*MHCL--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);TRANSPORT AERIEN DE FRET (LEGER);1.X.2.1.2.8.1.png;1.X.2.1.2.8.1.svg
1.X.2.1.2.8.2;S*A*MHCM--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);TRANSPORT AERIEN DE FRET (MOYEN);1.X.2.1.2.8.2.png;1.X.2.1.2.8.2.svg
1.X.2.1.2.8.3;S*A*MHCH--;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);TRANSPORT AERIEN DE FRET (LOURD);1.X.2.1.2.8.3.png;1.X.2.1.2.8.3.svg
1.X.2.1.2.9;S*A*MHT---;AIR TRACK|MILITARY|ROTARY WING|TRAINER;TRAINER;FORMATEUR;1.X.2.1.2.9.png;1.X.2.1.2.9.svg
1.X.2.1.2.10;S*A*MHO---;AIR TRACK|MILITARY|ROTARY WING|MEDEVAC;MEDEVAC;MEDEVAC;1.X.2.1.2.10.png;1.X.2.1.2.10.svg
1.X.2.1.2.11;S*A*MHM---;AIR TRACK|MILITARY|ROTARY WING|SPECIAL OPERATIONS FORCES (SOF);SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF);1.X.2.1.2.11.png;1.X.2.1.2.11.svg
1.X.2.1.2.12;S*A*MHD---;AIR TRACK|MILITARY|ROTARY WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AEROPORTE (C2);1.X.2.1.2.12.png;1.X.2.1.2.12.svg
1.X.2.1.2.13;S*A*MHK---;AIR TRACK|MILITARY|ROTARY WING|TANKER;TANKER;CITERNE;1.X.2.1.2.13.png;1.X.2.1.2.13.svg
1.X.2.1.2.14;S*A*MHJ---;AIR TRACK|MILITARY|ROTARY WING|ELECTRONIC COUNTERMEASURES (ECM/JAMMER);ELECTRONIC COUNTERMEASURES (ECM/JAMMER);CONTRE-MESURES ELECTRONIQUES (ECM/JAMMER);1.X.2.1.2.14.png;1.X.2.1.2.14.svg
1.X.2.1.3;S*A*ML----;AIR TRACK|MILITARY|LIGHTER THAN AIR;LIGHTER THAN AIR;PLUS LEGER QUE L'AIR;1.X.2.1.3.png;1.X.2.1.3.svg
1.X.2.1.4;S*A*MV----;AIR TRACK|MILITARY|VERY IMPORTANT PERSON (VIP);VERY IMPORTANT PERSON (VIP);PERSONNE TRES IMPORTANTE (VIP);1.X.2.1.4.png;1.X.2.1.4.svg
1.X.2.1.5;S*A*ME----;AIR TRACK|MILITARY|ESCORT;ESCORT;ESCORTE;1.X.2.1.5.png;1.X.2.1.5.svg
1.X.2.2;S*A*W-----;AIR TRACK|WEAPON;WEAPON;ARME;1.X.2.2.png;1.X.2.2.svg
1.X.2.2.1;S*A*WM----;AIR TRACK|WEAPON|MISSILE IN FLIGHT;MISSILE IN FLIGHT;MISSILE EN VOL;1.X.2.2.1.png;1.X.2.2.1.svg
1.X.2.2.1.1;S*A*WMS---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE LAUNCHED MISSILE;SURFACE LAUNCHED MISSILE;MISSILE LANCE EN SURFACE;1.X.2.2.1.1.png;1.X.2.2.1.1.svg
1.X.2.2.1.1.1;S*A*WMSS--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE LAUNCHED MISSILE|SURFACE-TO-SURFACE MISSILE (SSM);SURFACE-TO-SURFACE MISSILE (SSM);MISSILE SURFACE-SURFACE (SSM);1.X.2.2.1.1.1.png;1.X.2.2.1.1.1.svg
1.X.2.2.1.1.2;S*A*WMSA--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE LAUNCHED MISSILE|SURFACE-TO-AIR MISSILE (SAM);SURFACE-TO-AIR MISSILE (SAM);MISSILE SURFACE-AIR (SAM);1.X.2.2.1.1.2.png;1.X.2.2.1.1.2.svg
1.X.2.2.1.1.3;S*A*WMSU--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE LAUNCHED MISSILE|SURFACE-TO-SUBSURFACE MISSILE;SURFACE-TO-SUBSURFACE MISSILE;MISSILE SURFACE-SURFACE;1.X.2.2.1.1.3.png;1.X.2.2.1.1.3.svg
1.X.2.2.1.1.4;S*A*WMSB--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE LAUNCHED MISSILE|ANTIBALLISTIC MISSILE (ABM);ANTIBALLISTIC MISSILE (ABM);MISSILE ANTIBALISTIQUE (ABM);1.X.2.2.1.1.4.png;1.X.2.2.1.1.4.svg
1.X.2.2.1.2;S*A*WMA---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE;AIR LAUNCHED MISSILE;MISSILE LANCE PAR VOIE AERIENNE;1.X.2.2.1.2.png;1.X.2.2.1.2.svg
1.X.2.2.1.2.1;S*A*WMAS--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE|AIR-TO-SURFACE MISSILE (ASM);AIR-TO-SURFACE MISSILE (ASM);MISSILE AIR-SURFACE (ASM);1.X.2.2.1.2.1.png;1.X.2.2.1.2.1.svg
1.X.2.2.1.2.2;S*A*WMAA--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE|AIR-TO-AIR MISSILE (AAM);AIR-TO-AIR MISSILE (AAM);MISSILE AIR-AIR (AAM);1.X.2.2.1.2.2.png;1.X.2.2.1.2.2.svg
1.X.2.2.1.2.3;S*A*WMAP--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE|AIR-TO-SPACE MISSILE;AIR-TO-SPACE MISSILE;MISSILE AIR-ESPACE;1.X.2.2.1.2.3.png;1.X.2.2.1.2.3.svg
1.X.2.2.1.3;S*A*WMU---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SUBSURFACE-TO-SURFACE MISSILE (S/SSM);SUBSURFACE-TO-SURFACE MISSILE (S/SSM);MISSILE SUBSURFACE-SURFACE (S/SSM);1.X.2.2.1.3.png;1.X.2.2.1.3.svg
1.X.2.2.1.4;S*A*WMCM--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|CRUISE MISSILE;CRUISE MISSILE;MISSILE DE CROISIERE;1.X.2.2.1.4.png;1.X.2.2.1.4.svg
1.X.2.2.1.5;S*A*WMB---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|BALLISTIC MISSILE;BALLISTIC MISSILE;MISSILE BALISTIQUE;1.X.2.2.1.5.png;1.X.2.2.1.5.svg
1.X.2.2.2;S*A*WB----;AIR TRACK|WEAPON|BOMB;BOMB;BOMBE;1.X.2.2.2.png;1.X.2.2.2.svg
1.X.2.2.3;S*A*WD----;AIR TRACK|WEAPON|DECOY;DECOY;LEURRE;1.X.2.2.3.png;1.X.2.2.3.svg
1.X.2.3;S*A*C-----;AIR TRACK|CIVIL AIRCRAFT;CIVIL AIRCRAFT;AVION CIVIL;1.X.2.3.png;1.X.2.3.svg
1.X.2.3.1;S*A*CF----;AIR TRACK|CIVIL AIRCRAFT|FIXED WING;FIXED WING;AILE FIXE;1.X.2.3.1.png;1.X.2.3.1.svg
1.X.2.3.2;S*A*CH----;AIR TRACK|CIVIL AIRCRAFT|ROTARY WING;ROTARY WING;AILE ROTATIVE;1.X.2.3.2.png;1.X.2.3.2.svg
1.X.2.3.3;S*A*CL----;AIR TRACK|CIVIL AIRCRAFT|LIGHTER THAN AIR;LIGHTER THAN AIR;PLUS LEGER QUE L'AIR;1.X.2.3.3.png;1.X.2.3.3.svg
1.X.3;S*G*------;GROUND TRACK;GROUND TRACK;PISTE AU SOL;1.X.3.png;1.X.3.svg
1.X.3.1;S*G*U-----;GROUND TRACK|UNIT;UNIT;UNITE;1.X.3.1.png;1.X.3.1.svg
1.X.3.1.1;S*G*UC----;GROUND TRACK|UNIT|COMBAT;COMBAT;COMBAT;1.X.3.1.1.png;1.X.3.1.1.svg
1.X.3.1.1.1;S*G*UCD---;GROUND TRACK|UNIT|COMBAT|AIR DEFENSE;AIR DEFENSE;DEFENSE AERIENNE;1.X.3.1.1.1.png;1.X.3.1.1.1.svg
1.X.3.1.1.1.1;S*G*UCDS--;GROUND TRACK|UNIT|COMBAT|AIR DEFENSE|SHORT RANGE;SHORT RANGE;COURTE PORTEE;1.X.3.1.1.1.1.png;1.X.3.1.1.1.1.svg
1.X.3.1.1.1.1.1;S*G*UCDSC-;GROUND TRACK|UNIT|COMBAT|AIR DEFENSE|SHORT RANGE|CHAPARRAL;CHAPARRAL;CHAPARRAL;1.X.3.1.1.1.1.1.png;1.X.3.1.1.1.1.1.svg
1.X.3.1.1.1.1.2;S*G*UCDSS-;GROUND TRACK|UNIT|COMBAT|AIR DEFENSE|SHORT RANGE|STINGER;STINGER;STINGER;1.X.3.1.1.1.1.2.png;1.X.3.1.1.1.1.2.svg
1.X.3.1.1.1.1.3;S*G*UCDSV-;GROUND TRACK|UNIT|COMBAT|AIR DEFENSE|SHORT RANGE|VULCAN;VULCAN;VULCAN;1.X.3.1.1.1.1.3.png;1.X.3.1.1.1.1.3.svg
1.X.3.1.1.1.2;S*G*UCDM--;GROUND TRACK|UNIT|COMBAT|AIR DEFENSE|AIR DEFENSE MISSILE;AIR DEFENSE MISSILE;MISSILE DE DEFENSE AERIENNE;1.X.3.1.1.1.2.png;1.X.3.1.1.1.2.svg
