APP6-C-Domain;APP6-C-FullPath;APP6-NAME;APP6-NAME-FR;APP6-C-HIERARCHY-NAME;APP6-C-HIERARCHY;APP6-B-SIDC;APP6-C-SIDC;APP6-D-SIDC;APP6-D-Domain;APP6-D-Entity;APP6-D-EntityType;APP6-D-EntitySubtype
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ELECTRONIC COUNTERMEASURES (JAMMER);ELECTRONIC COUNTERMEASURES (JAMMER);CONTRE-MESURES ELECTRONIQUES (BROUILLEUR);AIRTRK.MIL.FIXD.DRN.ECM;1.X.2.1.1.16.7;S*A*MFQJ--;S*A*MFQJ--;10030100001103001600;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|V/STOL;V/STOL;V/STOL;AIRTRK.MIL.FIXD.VSTOL;1.X.2.1.1.16.9;S*A*MFL---;S*A*MFL---;10030100001101140000;AIR;Military;Fixed Wing;Vertical or Short Take-off and Landing (VSTOL)
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|V/STOL;V/STOL;V/STOL;AIRTRK.MIL.FIXD.DRN.VSTOL;1.X.2.1.1.16.9;S*A*MFQL--;S*A*MFQL--;10030100001103000800;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ANTISURFACE WARFARE (ASUW);ANTISURFACE WARFARE (ASUW);GUERRE ANTISURFACE (ASUW);AIRTRK.MIL.FIXD.PAT.ASUW;1.X.2.1.1.16.12;S*A*MFPN--;S*A*MFPN--;10030100001101170000;AIR;Military;Fixed Wing;Antisurface Warfare
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ANTISURFACE WARFARE (ASUW);ANTISURFACE WARFARE (ASUW);GUERRE ANTISURFACE (ASUW);AIRTRK.MIL.FIXD.DRN.ASUW;1.X.2.1.1.16.12;S*A*MFQN--;S*A*MFQN--;10030100001103003200;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|RECONNAISSANCE|ELECTRONIC SURVEILLANCE MEASURES;ELECTRONIC SURVEILLANCE MEASURES;MESURES DE SURVEILLANCE ELECTRONIQUE;AIRTRK.MIL.FIXD.DRN.RECON.ESM;1.X.2.1.1.16.14.2;S*A*MFQRZ-;S*A*MFQRZ-;10030100001103002400;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|RECONNAISSANCE|ELECTRONIC SURVEILLANCE MEASURES;ELECTRONIC SURVEILLANCE MEASURES;MESURES DE SURVEILLANCE ELECTRONIQUE;AIRTRK.MIL.FIXD.RECON.ESM;1.X.2.1.1.16.14.2;S*A*MFRZ--;S*A*MFRZ--;10030100001101210000;AIR;Military;Fixed Wing;Electronic Support (ES)
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|RECONNAISSANCE|PHOTOGRAPHIC;PHOTOGRAPHIC;PHOTOGRAPHIE;AIRTRK.MIL.FIXD.DRN.RECON.PHG;1.X.2.1.1.16.14.3;S*A*MFQRX-;S*A*MFQRX-;10030100001103002000;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|RECONNAISSANCE|PHOTOGRAPHIC;PHOTOGRAPHIC;PHOTOGRAPHIE;AIRTRK.MIL.FIXD.RECON.PHG;1.X.2.1.1.16.14.3;S*A*MFRX--;S*A*MFRX--;10030100001101280000;AIR;Military;Fixed Wing;Photographic Reconnaissance
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ANTISUBMARINE WARFARE (ASW);ANTISUBMARINE WARFARE (ASW);LUTTE ANTI-SOUS-MARINE (GASM);AIRTRK.MIL.FIXD.DRN.ASBW;1.X.2.1.1.16.15;S*A*MFQS--;S*A*MFQS--;10030100001103002200;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
SIGNALS-INTELLIGENCE;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;SIGINT.AIRTRK.SIGINC.COMM;1.X.2.1.1.16.18;I*A*SC----;I*A*SC----;10035100001101000000;SIGNALS INTELLIGENCE - AIR;Military;Submarine;
SIGNALS-INTELLIGENCE;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;SIGINT.GRDTRK.SIGINC.COMM;1.X.2.1.1.16.18;I*G*SC----;I*G*SC----;10035200001101001100;SIGNALS INTELLIGENCE - LAND;Military;Submarine;
SIGNALS-INTELLIGENCE;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;SIGINT.SPC.SIGINC.COMM;1.X.2.1.1.16.18;I*P*SC----;I*P*SC----;10035000001101005300;SIGNALS INTELLIGENCE - SPACE;Military;Submarine;
SIGNALS-INTELLIGENCE;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;SIGINT.SSUF.SIGINC.COMM;1.X.2.1.1.16.18;I*S*SC----;I*S*SC----;10035300001101001100;SIGNALS INTELLIGENCE - SURFACE;Military;Submarine;
SIGNALS-INTELLIGENCE;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;SIGINT.SBSUF.SIGINC.COMM;1.X.2.1.1.16.18;I*U*SC----;I*U*SC----;10035400001101004700;SIGNALS INTELLIGENCE - SUBSURFACE;Military;Submarine;
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;AIRTRK.MIL.FIXD.DRN.COMM;1.X.2.1.1.16.18;S*A*MFQY--;S*A*MFQY--;10030100001103002300;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;AIRTRK.MIL.FIXD.COMM;1.X.2.1.1.16.18;S*A*MFY---;S*A*MFY---;10030100001101190000;AIR;Military;Fixed Wing;Communications
AIR;AIR TRACK|MILITARY|FIXED WING|ANTISUBMARINE WARFARE (ASW) CARRIER BASED;ANTISUBMARINE WARFARE (ASW) CARRIER BASED;GUERRE ANTI-SOUS-MARINE (ASW) SUR PORTE-AVIONS;AIRTRK.MIL.FIXD.ASBWCB;1.X.2.1.1.17;S*A*MFS---;S*A*MFS---;10030100001101180000;AIR;Military;Fixed Wing;Antisubmarine Warfare
AIR;AIR TRACK|MILITARY|ROTARY WING|ATTACK;ATTACK;ATTAQUE;AIRTRK.MIL.FIXD.DRN.ATK;1.X.2.1.2.1;S*A*MFQA--;S*A*MFQA--;10030100001103000100;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|ROTARY WING|ATTACK;ATTACK;ATTAQUE;AIRTRK.MIL.ROT.ATK;1.X.2.1.2.1;S*A*MHA---;S*A*MHA---;10030100001102000100;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|ANTISUBMARINE WARFARE/MPA;ANTISUBMARINE WARFARE/MPA;LUTTE ANTI-SOUS-MARINE/MPA;AIRTRK.MIL.ROT.ASBW;1.X.2.1.2.2;S*A*MHS---;S*A*MHS---;10030100001102003200;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY;UTILITY;UTILITE;AIRTRK.MIL.FIXD.DRN.UTY;1.X.2.1.2.3;S*A*MFQU--;S*A*MFQU--;10030100001103000700;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY;UTILITY;UTILITE;AIRTRK.MIL.FIXD.UTY;1.X.2.1.2.3;S*A*MFU---;S*A*MFU---;10030100001101130000;AIR;Military;Fixed Wing;Utility
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY;UTILITY;UTILITE;AIRTRK.MIL.ROT.UTY;1.X.2.1.2.3;S*A*MHU---;S*A*MHU---;10030100001102000700;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);UTILITAIRE (LEGER);AIRTRK.MIL.FIXD.UTY.LIT;1.X.2.1.2.3.1;S*A*MFUL--;S*A*MFUL--;10030100001101130003;AIR;Military;Fixed Wing;Utility
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);UTILITAIRE (LEGER);AIRTRK.MIL.ROT.UTY.LIT;1.X.2.1.2.3.1;S*A*MHUL--;S*A*MHUL--;10030100001102000703;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);UTILITAIRE (MOYEN);AIRTRK.MIL.FIXD.UTY.MDM;1.X.2.1.2.3.2;S*A*MFUM--;S*A*MFUM--;10030100001101130002;AIR;Military;Fixed Wing;Utility
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);UTILITAIRE (MOYEN);AIRTRK.MIL.ROT.UTY.MDM;1.X.2.1.2.3.2;S*A*MHUM--;S*A*MHUM--;10030100001102000702;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);UTILITAIRE (LOURD);AIRTRK.MIL.FIXD.UTY.HVY;1.X.2.1.2.3.3;S*A*MFUH--;S*A*MFUH--;10030100001101130001;AIR;Military;Fixed Wing;Utility
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);UTILITAIRE (LOURD);AIRTRK.MIL.ROT.UTY.HVY;1.X.2.1.2.3.3;S*A*MHUH--;S*A*MHUH--;10030100001102000701;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|MINE COUNTERMEASURES;MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES;AIRTRK.MIL.FIXD.PAT.MNECM;1.X.2.1.2.4;S*A*MFPM--;S*A*MFPM--;10030100001101230000;AIR;Military;Fixed Wing;Mine Countermeasures (MCM)
AIR;AIR TRACK|MILITARY|ROTARY WING|MINE COUNTERMEASURES;MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES;AIRTRK.MIL.FIXD.DRN.MNECM;1.X.2.1.2.4;S*A*MFQI--;S*A*MFQI--;10030100001103002500;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|ROTARY WING|MINE COUNTERMEASURES;MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES;AIRTRK.MIL.ROT.MNECM;1.X.2.1.2.4;S*A*MHI---;S*A*MHI---;10030100001102002500;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|COMBAT SEARCH AND RESCUE (CSAR);COMBAT SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE AU COMBAT (CSAR);AIRTRK.MIL.FIXD.CSAR;1.X.2.1.2.5;S*A*MFH---;S*A*MFH---;10030100001101200000;AIR;Military;Fixed Wing;Combat Search and Rescue (CSAR)
AIR;AIR TRACK|MILITARY|ROTARY WING|COMBAT SEARCH AND RESCUE (CSAR);COMBAT SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE AU COMBAT (CSAR);AIRTRK.MIL.ROT.CSAR;1.X.2.1.2.5;S*A*MHH---;S*A*MHH---;10030100001102003000;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|DRONE (RPV/UA);DRONE (RPV/UA);DRONE (RPV/UA);AIRTRK.MIL.FIXD.DRN;1.X.2.1.2.7;S*A*MFQ---;S*A*MFQ---;10030100001103000000;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|ROTARY WING|DRONE (RPV/UA);DRONE (RPV/UA);DRONE (RPV/UA);AIRTRK.MIL.ROT.DRN;1.X.2.1.2.7;S*A*MHQ---;S*A*MHQ---;10030100001104000000;AIR;Military;Vertical–Takeoff UAV (VT–UAV);
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);TRANSPORT AERIEN DE FRET (TRANSPORT);AIRTRK.MIL.FIXD.CGOALT;1.X.2.1.2.8;S*A*MFC---;S*A*MFC---;10030100001101070000;AIR;Military;Fixed Wing;Cargo
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);TRANSPORT AERIEN DE FRET (TRANSPORT);AIRTRK.MIL.ROT.CGOALT;1.X.2.1.2.8;S*A*MHC---;S*A*MHC---;10030100001102000300;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);TRANSPORT AERIEN DE FRET (LEGER);AIRTRK.MIL.FIXD.CGOALT.LIT;1.X.2.1.2.8.1;S*A*MFCL--;S*A*MFCL--;10030100001101070003;AIR;Military;Fixed Wing;Cargo
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);TRANSPORT AERIEN DE FRET (LEGER);AIRTRK.MIL.ROT.CGOALT.LIT;1.X.2.1.2.8.1;S*A*MHCL--;S*A*MHCL--;10030100001102000303;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);TRANSPORT AERIEN DE FRET (MOYEN);AIRTRK.MIL.FIXD.CGOALT.MDM;1.X.2.1.2.8.2;S*A*MFCM--;S*A*MFCM--;10030100001101070002;AIR;Military;Fixed Wing;Cargo
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);TRANSPORT AERIEN DE FRET (MOYEN);AIRTRK.MIL.ROT.CGOALT.MDM;1.X.2.1.2.8.2;S*A*MHCM--;S*A*MHCM--;10030100001102000302;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);TRANSPORT AERIEN DE FRET (LOURD);AIRTRK.MIL.FIXD.CGOALT.HVY;1.X.2.1.2.8.3;S*A*MFCH--;S*A*MFCH--;10030100001101070001;AIR;Military;Fixed Wing;Cargo
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);TRANSPORT AERIEN DE FRET (LOURD);AIRTRK.MIL.ROT.CGOALT.HVY;1.X.2.1.2.8.3;S*A*MHCH--;S*A*MHCH--;10030100001102000301;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|TRAINER;TRAINER;FORMATEUR;AIRTRK.MIL.FIXD.DRN.TNE;1.X.2.1.2.9;S*A*MFQT--;S*A*MFQT--;10030100001103001900;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|ROTARY WING|TRAINER;TRAINER;FORMATEUR;AIRTRK.MIL.FIXD.TNE;1.X.2.1.2.9;S*A*MFT---;S*A*MFT---;10030100001101120000;AIR;Military;Fixed Wing;Trainer
AIR;AIR TRACK|MILITARY|ROTARY WING|TRAINER;TRAINER;FORMATEUR;AIRTRK.MIL.ROT.TNE;1.X.2.1.2.9;S*A*MHT---;S*A*MHT---;10030100001102001900;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|MEDEVAC;MEDEVAC;MEDEVAC;AIRTRK.MIL.FIXD.DRN.MEDV;1.X.2.1.2.10;S*A*MFQO--;S*A*MFQO--;10030100001103001400;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|ROTARY WING|MEDEVAC;MEDEVAC;MEDEVAC;AIRTRK.MIL.ROT.MEDV;1.X.2.1.2.10;S*A*MHO---;S*A*MHO---;10030100001102001400;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|SPECIAL OPERATIONS FORCES (SOF);SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF);AIRTRK.MIL.FIXD.SOF;1.X.2.1.2.11;S*A*MFM---;S*A*MFM---;10030100001101260000;AIR;Military;Fixed Wing;Special Operations Forces
AIR;AIR TRACK|MILITARY|ROTARY WING|SPECIAL OPERATIONS FORCES (SOF);SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF);AIRTRK.MIL.FIXD.DRN.SOF;1.X.2.1.2.11;S*A*MFQM--;S*A*MFQM--;10030100001103002700;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|ROTARY WING|SPECIAL OPERATIONS FORCES (SOF);SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF);AIRTRK.MIL.ROT.SOF;1.X.2.1.2.11;S*A*MHM---;S*A*MHM---;10030100001102002700;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AEROPORTE (C2);AIRTRK.MIL.FIXD.ABNCP;1.X.2.1.2.12;S*A*MFD---;S*A*MFD---;10030100001101150000;AIR;Military;Fixed Wing;Airborne Command Post (ACP)
AIR;AIR TRACK|MILITARY|ROTARY WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AEROPORTE (C2);AIRTRK.MIL.ROT.ABNCP;1.X.2.1.2.12;S*A*MHD---;S*A*MHD---;10030100001102001100;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|TANKER;TANKER;CITERNE;AIRTRK.MIL.FIXD.TNK;1.X.2.1.2.13;S*A*MFK---;S*A*MFK---;10030100001101090000;AIR;Military;Fixed Wing;Tanker
AIR;AIR TRACK|MILITARY|ROTARY WING|TANKER;TANKER;CITERNE;AIRTRK.MIL.FIXD.DRN.TNK;1.X.2.1.2.13;S*A*MFQK--;S*A*MFQK--;10030100001103000600;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|ROTARY WING|TANKER;TANKER;CITERNE;AIRTRK.MIL.ROT.TNK;1.X.2.1.2.13;S*A*MHK---;S*A*MHK---;10030100001102000600;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|ELECTRONIC COUNTERMEASURES (ECM/JAMMER);ELECTRONIC COUNTERMEASURES (ECM/JAMMER);CONTRE-MESURES ELECTRONIQUES (ECM/JAMMER);AIRTRK.MIL.FIXD.ECM;1.X.2.1.2.14;S*A*MFJ---;S*A*MFJ---;10030100001101080000;AIR;Military;Fixed Wing;Electronic Combat (EC)/Jammer
AIR;AIR TRACK|MILITARY|ROTARY WING|ELECTRONIC COUNTERMEASURES (ECM/JAMMER);ELECTRONIC COUNTERMEASURES (ECM/JAMMER);CONTRE-MESURES ELECTRONIQUES (ECM/JAMMER);AIRTRK.MIL.ROT.ECM;1.X.2.1.2.14;S*A*MHJ---;S*A*MHJ---;10030100001102001600;AIR;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|VERY IMPORTANT PERSON (VIP);VERY IMPORTANT PERSON (VIP);PERSONNE TRES IMPORTANTE (VIP);AIRTRK.MIL.VIP;1.X.2.1.4;;S*A*MV----;10030100001101290000;AIR;Military;Fixed Wing;Very Important Person (VIP)
AIR;AIR TRACK|MILITARY|ESCORT;ESCORT;ESCORTE;AIRTRK.MIL.ESCORT;1.X.2.1.5;;S*A*ME----;10030100001101320000;AIR;Military;Fixed Wing;Escort
